Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:24.538607+0900 0x16b5     Activity    0x5b71a              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:24.538613+0900 0x16b5     Activity    0x5b71b              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.539094+0900 0x16b5     Activity    0x5b71c              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:24.539096+0900 0x16b5     Activity    0x5b71d              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.539106+0900 0x16b5     Activity    0x5b71e              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.539111+0900 0x16b5     Activity    0x5b71f              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:24.540063+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297e400] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2026-04-21 15:03:24.540108+0900 0x16b5     Activity    0x5bb30              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:24.540111+0900 0x16b5     Activity    0x5bb31              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.540423+0900 0x1c9e0    Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297ee80] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x872c64dc0.peer[537].0x87297ee80
2026-04-21 15:03:24.550577+0900 0x16b5     Activity    0x5bb32              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:24.550583+0900 0x16b5     Activity    0x5bb33              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.550602+0900 0x16b5     Activity    0x5bb34              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:24.550604+0900 0x16b5     Activity    0x5bb35              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:24.551102+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:24.551104+0900 0x16b5     Activity    0x5bb36              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:24.555411+0900 0x16b5     Activity    0x5bb37              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:24.961965+0900 0x16b5     Activity    0x5bb38              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:24.979022+0900 0x16b5     Activity    0x5bb39              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:25.437506+0900 0x16b5     Activity    0x5bb3a              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:25.439605+0900 0x16b5     Activity    0x5bb3b              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:25.902543+0900 0x16b5     Activity    0x5bb3c              439    0    PriTypeV2: (InputMethodKit) Setting marked text
